file_path	usage_type	context	complexity	length	total_usages	value	Source																		
./basic_block_analyzer.rs; ./io_matrix_analyzer.rs; ./code_finder.rs	integer_literal	literal_usage	1	1	8	0	analysis/reports/special/value-lattice/length-1/0.json																		
./basic_block_analyzer.rs; ./io_matrix_analyzer.rs; ./code_finder.rs	integer_literal	literal_usage	1	1	18	1	analysis/reports/special/value-lattice/length-1/1.json																		
./code_finder.rs	integer_literal	literal_usage	1	1	1	2	analysis/reports/special/value-lattice/length-1/2.json																		
./io_matrix_analyzer.rs	integer_literal	literal_usage	1	1	1	3	analysis/reports/special/value-lattice/length-1/3.json																		
./io_matrix_analyzer.rs	integer_literal	literal_usage	1	1	1	5	analysis/reports/special/value-lattice/length-1/5.json																		
./code_finder.rs	string_literal	literal_usage; Value Lattice cataloging unique identifiers	1	10	1	github.com	analysis/reports/special/value-lattice/length-10/github.com.json, 1, 2																		
./basic_block_analyzer.rs; /home/mdupont/nix/.../lib.rs	string_literal	literal_usage	1	14	1	._target_debug	analysis/reports/special/value-lattice/length-14/._target_debug.json, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	28	2	semantic_signature_generator	analysis/reports/special/value-lattice/length-28/semantic_signature_generator.json, 2																		
./io_matrix_analyzer.rs	string_literal	literal_usage	1	21	1	io_matrix_report.json	analysis/reports/special/value-lattice/length-21/io_matrix_report.json.json, 2																		
./io_matrix_analyzer.rs	string_literal	literal_usage	1	1	1	.	3																		
./basic_block_analyzer.rs; ./io_matrix_analyzer.rs	integer_literal	literal_usage	1	2	2	10	3, 2																		
./code_finder.rs	integer_literal	literal_usage	1	2	2	20	3, 2																		
./io_matrix_analyzer.rs	string_literal	literal_usage	1	2	1	,	3																		
./io_matrix_analyzer.rs	string_literal	literal_usage	1	2	1	rs	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	2	1	.d	3																		
./io_matrix_analyzer.rs	float_literal	literal_usage	1	3	2	0.0	3, 2																		
./basic_block_analyzer.rs	float_literal	literal_usage	1	3	1	0.5	3, 2																		
./basic_block_analyzer.rs	float_literal	literal_usage	1	3	3	1.0	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	3	1	TAB	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	33	1	./semantic_signature_generator.rs	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	34	1	comprehensive_analysis_report.json	3, 2																		
./io_matrix_analyzer.rs	string_literal	literal_usage	1	4	1	self	3, 2																		
